SMILES,Name,Pubchem_ID,CAS-RN,Tb,Tb_source,GHS_signal,298.15,298.150025,298.15004999999996,298.1500749999999,298.15009999999995,Mean,ln_gamma_inf_ij_,ln_gamma_inf_ik_,ln_gamma_inf_ji_,ln_gamma_inf_jk_,ln_gamma_inf_ki_,ln_gamma_inf_kj_,MW,Rank
O=CN1CCCC1,1-PYRROLIDINECARBOXALDEHYDE,77372.0,['3760-54-1'],366.15,COMMON_CHEMISTRY,Warning,1.3008373438832763,1.3008373268600686,1.300837309836863,1.3008372928136593,1.300837275790457,1.3008373098368646,0.3777535149557519,0.7153662301282966,0.3065801269693714,-0.16290871960366116,0.10009942202033273,-0.13876191805313248,99.13300000000001,47
Cc1ccc(C=O)o1,"FURFURAL, 5-METHYL",12097.0,"['620-02-0', '17-09-0']",459.15,CRC_ORG,Warning,1.2487198688875338,1.2487198366111183,1.248719804334706,1.2487197720582979,1.2487197397818932,1.2487198043347099,0.37775507826077115,1.2218325487193245,0.3065796501322132,0.572912522349199,0.7950313923245214,0.6057765138069872,110.112,48
N#Cc1ccccc1,"BENZOIC ACID, NITRILE",7505.0,"['100-47-0', '100-47-0']",464.15,CRC_ORG,Warning,1.1741378181572217,1.1741379496255733,1.1741380810939277,1.1741382125622846,1.1741383440306459,1.1741380810939306,0.3777539917929101,0.5757652601423553,0.3065794117136341,1.1242690144096283,1.2848033448225897,0.8877778062773111,103.12399999999997,49
COC(=O)C1CCOC1,"3-FURANCARBOXYLIC ACID, TETRAHYDRO, METHYL ESTER",10678263.0,['53662-85-4'],437.33,JOBACK,Warning,1.0931471055339834,1.0931470701668318,1.0931470347996846,1.0931469994325416,1.0931469640654023,1.0931470347996888,0.377753753374331,1.6342176615732136,0.306579173295055,1.0307056321444015,1.119766356353181,0.930283248963344,130.143,50
ClC1CCCCC1,"CYCLOHEXANE, CHLORO",10952.0,"['542-18-7', '05-00-0']",415.75,CRC_ORG,Warning,1.04384549653263,1.0438453551253095,1.04384521371802,1.0438450723107633,1.0438449309035376,1.0438452137180518,0.37775531667935025,3.0439512333946332,0.3065786964578968,2.4665272722501372,2.5094384879963902,1.0509675790203434,118.60700000000001,51
FCC(F)(F)F,"ETHANE, 1,1,1,2-TETRAFLUORO",13129.0,"['811-97-2', '29759-38-4']",247.05,CRC_ORG,Warning,1.0063773822072608,1.0063774635759268,1.006377544944592,1.0063776263132564,1.006377707681921,1.0063775449445913,0.37775531667935025,0.6561408534083263,0.3065794117136341,0.8163770124935026,0.8227343069516486,3.303728927720555,102.03000000000002,52
CC(O)C(C)[N+](=O)[O-],"2-BUTANOL, 3-NITRO",93025.0,"['6270-16-2', '01-00-0']",365.15,COMMON_CHEMISTRY,Warning,0.9771394901480849,0.9771395457916074,0.9771396014351285,0.9771396570786471,0.9771397127221648,0.9771396014351266,0.37775555509792935,1.3521829755660995,0.30658056336774986,0.15498875803537251,0.13186300874432777,-0.09692098415400914,119.12,53
O=C1CCCC1,CYCLOPENTANONE,8452.0,"['120-92-3', '120-92-3']",403.65,CRC_ORG,Warning,0.9723312162605409,0.972331228298919,0.9723312403372963,0.9723312523756726,0.972331264414048,0.9723312403372955,0.3777539917929101,1.19860760771243,0.306579173295055,0.2926747858349494,0.2646160355001881,0.6798022477795117,84.11800000000001,54
COc1ccccc1,"BENZENE, METHOXY",7519.0,['100-66-3'],426.75,CRC_ORG,Warning,0.9518337745662914,0.9518337270919858,0.9518336796176872,0.951833632143395,0.9518335846691092,0.9518336796176937,0.37775555509792935,1.7312757395881413,0.3065794117136341,1.4167584583674044,1.3673934926297746,0.6373419245195958,108.13999999999997,55
COc1ccccc1F,"BENZENE, 1-FLUORO, 2-METHOXY",67576.0,['321-28-8'],427.65,CRC_ORG,Warning,0.9200550826930148,0.9200551207454815,0.920055158797946,0.920055196850409,0.9200552349028703,0.9200551587979444,0.3777532765371728,1.2995488217134934,0.306579173295055,1.1970143864960123,1.1136927309748743,0.6140281594826511,126.12999999999998,56
CC(=O)CCCC(C)=O,"2,6-HEPTANEDIONE",100532.0,['13505-34-5'],385.4,COMMON_CHEMISTRY,Warning,0.9085603422065419,0.9085604029535918,0.9085604637006405,0.9085605244476876,0.9085605851947341,0.9085604637006393,0.377753753374331,1.7497809881358557,0.306579173295055,1.33001507198293,1.2341212319528079,1.281485621882951,128.171,57
